,downdog,goddess,plank,tree,warrior2
downdog,0.0213,0.0000,0.7447,0.0000,0.2340
goddess,0.0000,0.0000,0.0500,0.0000,0.9500
plank,0.0000,0.0000,0.1043,0.0000,0.8957
tree,0.0000,0.0000,0.1304,0.0000,0.8696
warrior2,0.0000,0.0000,0.0093,0.0000,0.9907
