,downdog,goddess,plank,tree,warrior2
downdog,0.9681,0.0000,0.0213,0.0000,0.0106
goddess,0.0000,0.9500,0.0375,0.0000,0.0125
plank,0.0174,0.0087,0.9391,0.0261,0.0087
tree,0.0000,0.0000,0.0145,0.9710,0.0145
warrior2,0.0000,0.0000,0.0187,0.0000,0.9813
