,downdog,goddess,plank,tree,warrior2
downdog,0.9691,0.0000,0.0309,0.0000,0.0000
goddess,0.0000,0.8875,0.0375,0.0000,0.0750
plank,0.0174,0.0000,0.9739,0.0000,0.0087
tree,0.0000,0.0145,0.0000,0.9710,0.0145
warrior2,0.0000,0.0367,0.0000,0.0183,0.9450
