,downdog,goddess,plank,tree,warrior2
downdog,0.0000,0.0000,0.0000,0.0000,1.0000
goddess,0.0000,0.0000,0.0000,0.0000,1.0000
plank,0.0000,0.0000,0.0000,0.0000,1.0000
tree,0.0000,0.0000,0.0000,0.0000,1.0000
warrior2,0.0000,0.0000,0.0000,0.0000,1.0000
