,precision,recall,f1-score,support
downdog,0.0000,0.0000,0.0000,97.0000
goddess,0.0000,0.0000,0.0000,80.0000
plank,0.0000,0.0000,0.0000,115.0000
tree,0.0000,0.0000,0.0000,69.0000
warrior2,0.2319,1.0000,0.3765,109.0000
accuracy,0.2319,0.2319,0.2319,0.2319
macro avg,0.0464,0.2000,0.0753,470.0000
weighted avg,0.0538,0.2319,0.0873,470.0000
