,downdog,goddess,plank,tree,warrior2
downdog,0.6915,0.0213,0.1915,0.0000,0.0957
goddess,0.0125,0.7000,0.0875,0.0250,0.1750
plank,0.0870,0.0000,0.8609,0.0000,0.0522
tree,0.0145,0.0145,0.0000,0.9275,0.0435
warrior2,0.0467,0.0561,0.0187,0.0093,0.8692
