,precision,recall,f1-score,support
downdog,0.7927,0.6915,0.7386,94.0000
goddess,0.8615,0.7000,0.7724,80.0000
plank,0.7857,0.8609,0.8216,115.0000
tree,0.9552,0.9275,0.9412,69.0000
warrior2,0.7440,0.8692,0.8017,107.0000
accuracy,0.8108,0.8108,0.8108,0.8108
macro avg,0.8278,0.8098,0.8151,465.0000
weighted avg,0.8157,0.8108,0.8095,465.0000
