,precision,recall,f1-score,support
downdog,0.9696969696969697,0.9896907216494846,0.9795918367346939,97.0
goddess,0.9629629629629629,0.975,0.968944099378882,80.0
plank,0.9826086956521739,0.9826086956521739,0.9826086956521739,115.0
tree,1.0,0.9710144927536232,0.9852941176470589,69.0
warrior2,0.9629629629629629,0.9541284403669725,0.9585253456221198,109.0
accuracy,0.9744680851063829,0.9744680851063829,0.9744680851063829,0.9744680851063829
macro avg,0.9756463182550139,0.9744884700844508,0.9749928190069858,470.0
weighted avg,0.9745970341715021,0.9744680851063829,0.9744691338383702,470.0
