,precision,recall,f1-score,support
downdog,0.9494949494949495,0.9690721649484536,0.9591836734693877,97.0
goddess,0.8863636363636364,0.975,0.9285714285714286,80.0
plank,0.9814814814814815,0.9217391304347826,0.9506726457399103,115.0
tree,0.9705882352941176,0.9565217391304348,0.9635036496350365,69.0
warrior2,0.9532710280373832,0.9357798165137615,0.9444444444444444,109.0
accuracy,0.948936170212766,0.948936170212766,0.948936170212766,0.948936170212766
macro avg,0.9482398661343137,0.9516225702054865,0.9492751683720415,470.0
weighted avg,0.9505480886634899,0.948936170212766,0.9491065556204182,470.0
