,precision,recall,f1-score,support
downdog,0.8245614035087719,0.9690721649484536,0.8909952606635071,97.0
goddess,0.9397590361445783,0.975,0.9570552147239264,80.0
plank,0.9753086419753086,0.6869565217391305,0.8061224489795918,115.0
tree,0.8552631578947368,0.9420289855072463,0.896551724137931,69.0
warrior2,0.9224137931034483,0.981651376146789,0.9511111111111111,109.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9034612065253688,0.9109418096683237,0.9003671519232135,470.0
weighted avg,0.9082551791533837,0.9,0.8962302535565017,470.0
