,precision,recall,f1-score,support
downdog,0.0000,0.0000,0.0000,97.0000
goddess,0.0000,0.0000,0.0000,80.0000
plank,0.0000,0.0000,0.0000,115.0000
tree,0.0000,0.0000,0.0000,69.0000
warrior2,0.2303,0.9908,0.3737,109.0000
accuracy,0.2298,0.2298,0.2298,0.2298
macro avg,0.0461,0.1982,0.0747,470.0000
weighted avg,0.0534,0.2298,0.0867,470.0000
