,precision,recall,f1-score,support
downdog,1.0000,0.0213,0.0417,94.0000
goddess,0.0000,0.0000,0.0000,80.0000
plank,0.1250,0.1043,0.1137,115.0000
tree,0.0000,0.0000,0.0000,69.0000
warrior2,0.2888,0.9907,0.4473,107.0000
accuracy,0.2581,0.2581,0.2581,0.2581
macro avg,0.2828,0.2233,0.1205,465.0000
weighted avg,0.2995,0.2581,0.1395,465.0000
