,precision,recall,f1-score,support
downdog,0.9785,0.9681,0.9733,94.0000
goddess,0.9870,0.9500,0.9682,80.0000
plank,0.9310,0.9391,0.9351,115.0000
tree,0.9571,0.9710,0.9640,69.0000
warrior2,0.9633,0.9813,0.9722,107.0000
accuracy,0.9613,0.9613,0.9613,0.9613
macro avg,0.9634,0.9619,0.9625,465.0000
weighted avg,0.9616,0.9613,0.9613,465.0000
