,precision,recall,f1-score,support
downdog,0.9893617021276596,0.9587628865979382,0.9738219895287958,97.0
goddess,0.9240506329113924,0.9125,0.9182389937106918,80.0
plank,0.9495798319327731,0.9826086956521739,0.9658119658119658,115.0
tree,1.0,0.9565217391304348,0.9777777777777777,69.0
warrior2,0.9464285714285714,0.9724770642201835,0.9592760180995475,109.0
accuracy,0.9595744680851064,0.9595744680851064,0.9595744680851064,0.9595744680851064
macro avg,0.9618841476800792,0.956574077120146,0.9589853489857557,470.0
weighted avg,0.9601160227601649,0.9595744680851064,0.9596084706149829,470.0
