,precision,recall,f1-score,support
downdog,0.9792,0.9691,0.9741,97.0000
goddess,0.9342,0.8875,0.9103,80.0000
plank,0.9492,0.9739,0.9614,115.0000
tree,0.9710,0.9710,0.9710,69.0000
warrior2,0.9279,0.9450,0.9364,109.0000
accuracy,0.9511,0.9511,0.9511,0.9511
macro avg,0.9523,0.9493,0.9506,470.0000
weighted avg,0.9511,0.9511,0.9509,470.0000
