,precision,recall,f1-score,support
downdog,0.9583,0.9787,0.9684,94.0000
goddess,0.9868,0.9375,0.9615,80.0000
plank,0.9478,0.9478,0.9478,115.0000
tree,0.9714,0.9855,0.9784,69.0000
warrior2,0.9722,0.9813,0.9767,107.0000
accuracy,0.9656,0.9656,0.9656,0.9656
macro avg,0.9673,0.9662,0.9666,465.0000
weighted avg,0.9658,0.9656,0.9655,465.0000
