,downdog,goddess,plank,tree,warrior2
downdog,0.9381,0.0000,0.0619,0.0000,0.0000
goddess,0.0000,0.8625,0.0375,0.0000,0.1000
plank,0.0174,0.0000,0.9739,0.0000,0.0087
tree,0.0000,0.0290,0.0000,0.9420,0.0290
warrior2,0.0000,0.0183,0.0000,0.0183,0.9633
